Episode Title,Episode ID,Publish Date,Publish Status,Last 7 Days,Last 30 Days,Last 90 Days,All Time Downloads
"Portugal - D. Afonso III - Parte 1 - Entre Portugal e França, as Origens do Infante",17832393,"September 12, 2025 17:00",Live,114,388,388,388
Portugal - Interlúdio - Parte 8 - A Europa Depois do Espanto do Mundo,17754466,"August 29, 2025 17:00",Live,43,405,405,405
"Portugal - Interlúdio - Parte 7 - Stupor Mundi, O Legado do Sacro-Imperador",17676442,"August 15, 2025 17:00",Live,41,200,468,468
Portugal - D. Sancho II - Parte 6 - O Rei Deposto Na Guerra Pelo Reino,17584295,"August 01, 2025 17:00",Live,33,129,438,438
1o Aniversário de Kings of History - Apresentação,17581815,"July 29, 2025 15:00",Live,23,98,334,334
Portugal - D. Sancho II - Parte 5 - Portugal em Ruínas e a Ira de Roma,17525353,"July 18, 2025 17:00",Live,25,124,456,456
Comunicado Real,17513807,"July 16, 2025 10:00",Live,15,80,299,299
"Portugal - D. Sancho II - Parte 4 - Entre Bispos e Fronteiras, O Início do Fim",17446517,"July 04, 2025 17:00",Live,23,116,466,466
Portugal - D. Sancho II - Parte 3 - A Corte Renovada e a Promessa a Sul,17369327,"June 20, 2025 17:00",Live,27,132,351,509
"Portugal - D. Sancho II - Parte 2 - Rei, Tias e Bispos, A Reconciliação",17282188,"June 06, 2025 17:00",Live,26,105,250,494
Portugal - D. Sancho II - Parte 1 - O Rei Menor e os Conflitos Maiores,17214150,"May 23, 2025 17:00",Live,18,111,283,583
Portugal - Interlúdio - Parte 6 -  A Europa e os ventos da Ásia,17131442,"May 09, 2025 17:00",Live,21,84,194,469
Portugal - D. Afonso II - Parte 6 - O Último Conflito de D. Afonso II ,16668682,"February 21, 2025 17:00",Live,17,80,188,595
Portugal - D. Afonso II - Parte 5 - A Bonança após a Tempestade numa Conquista Inglória,16571003,"February 07, 2025 17:00",Live,18,87,194,573
"Portugal - D. Afonso II - Parte 4 - Portugal, Um Reino Ameaçado e um Futuro Incerto",16539091,"January 31, 2025 17:00",Live,21,88,193,571
Portugal - D. Afonso II - Parte 3 - O Legado de D. Afonso II na Evolução da Língua,16485500,"January 24, 2025 17:00",Live,19,84,176,556
